PID       PROCESS NAME                       STATUS
---       -------------                      ------
0     ::: System Idle Process            --> running
4     ::: System                         --> running
160   ::: Registry                       --> running
296   ::: chrome.exe                     --> running
568   ::: smss.exe                       --> running
744   ::: services.exe                   --> running
836   ::: lsass.exe                      --> running
840   ::: csrss.exe                      --> running
976   ::: wininit.exe                    --> running
1016  ::: chrome.exe                     --> running
1032  ::: StartMenuExperienceHost.exe    --> running
1064  ::: conhost.exe                    --> running
1136  ::: svchost.exe                    --> running
1168  ::: WUDFHost.exe                   --> running
1216  ::: fontdrvhost.exe                --> running
1316  ::: svchost.exe                    --> running
1368  ::: svchost.exe                    --> running
1372  ::: svchost.exe                    --> running
1380  ::: dllhost.exe                    --> running
1444  ::: Code.exe                       --> running
1508  ::: svchost.exe                    --> running
1532  ::: SgrmBroker.exe                 --> running
1572  ::: svchost.exe                    --> running
1600  ::: svchost.exe                    --> running
1656  ::: svchost.exe                    --> running
1680  ::: svchost.exe                    --> running
1792  ::: svchost.exe                    --> running
1804  ::: svchost.exe                    --> running
1812  ::: CastSrv.exe                    --> running
1820  ::: svchost.exe                    --> running
1844  ::: chrome.exe                     --> running
1916  ::: svchost.exe                    --> running
1960  ::: SDXHelperBgt.exe               --> stopped
1964  ::: svchost.exe                    --> running
2044  ::: svchost.exe                    --> running
2140  ::: SynTPEnhService.exe            --> running
2180  ::: svchost.exe                    --> running
2300  ::: svchost.exe                    --> running
2348  ::: svchost.exe                    --> running
2356  ::: svchost.exe                    --> running
2396  ::: svchost.exe                    --> running
2408  ::: unsecapp.exe                   --> running
2448  ::: svchost.exe                    --> running
2496  ::: svchost.exe                    --> running
2536  ::: svchost.exe                    --> running
2552  ::: svchost.exe                    --> running
2584  ::: atiesrxx.exe                   --> running
2600  ::: WmiPrvSE.exe                   --> running
2608  ::: chrome.exe                     --> running
2740  ::: svchost.exe                    --> running
2748  ::: svchost.exe                    --> running
2756  ::: svchost.exe                    --> running
2776  ::: svchost.exe                    --> running
2796  ::: POWERPNT.EXE                   --> running
2864  ::: svchost.exe                    --> running
2888  ::: svchost.exe                    --> running
2896  ::: svchost.exe                    --> running
2928  ::: dart.exe                       --> running
2932  ::: svchost.exe                    --> running
2940  ::: MemCompression                 --> running
2948  ::: svchost.exe                    --> running
3128  ::: RtkAudioService64.exe          --> running
3220  ::: svchost.exe                    --> running
3264  ::: SynTPEnh.exe                   --> running
3284  ::: RtkBtManServ.exe               --> running
3320  ::: svchost.exe                    --> running
3324  ::: svchost.exe                    --> running
3332  ::: sqlwriter.exe                  --> running
3344  ::: armsvc.exe                     --> running
3368  ::: svchost.exe                    --> running
3548  ::: svchost.exe                    --> running
3556  ::: svchost.exe                    --> running
3700  ::: svchost.exe                    --> running
3728  ::: svchost.exe                    --> running
3784  ::: svchost.exe                    --> running
3808  ::: spoolsv.exe                    --> running
3844  ::: svchost.exe                    --> running
3952  ::: fontdrvhost.exe                --> running
3984  ::: conhost.exe                    --> running
3988  ::: svchost.exe                    --> running
3996  ::: svchost.exe                    --> running
4004  ::: svchost.exe                    --> running
4012  ::: svchost.exe                    --> running
4020  ::: svchost.exe                    --> running
4036  ::: svchost.exe                    --> running
4040  ::: svchost.exe                    --> running
4052  ::: svchost.exe                    --> running
4112  ::: DiagsCap.exe                   --> running
4124  ::: MsMpEng.exe                    --> running
4132  ::: GoogleCrashHandler64.exe       --> running
4160  ::: WebManagement.exe              --> running
4168  ::: AppHelperCap.exe               --> running
4184  ::: SysInfoCap.exe                 --> running
4196  ::: NetworkCap.exe                 --> running
4216  ::: sshd.exe                       --> running
4312  ::: svchost.exe                    --> running
4328  ::: svchost.exe                    --> running
4332  ::: svchost.exe                    --> running
4428  ::: AggregatorHost.exe             --> running
4484  ::: msedgewebview2.exe             --> running
4500  ::: dasHost.exe                    --> running
4512  ::: GoogleCrashHandler.exe         --> running
4784  ::: svchost.exe                    --> running
